start,end,speaker,text
"00:00:03.430","00:00:14.550","1","Oke, berarti di bagian sini, sorry, di bagian sini nanti ada profik khususnya untuk perlengkapan orang."
"00:00:14.550","00:00:17.470","2","Oh, nggak muncul ya."
"00:00:27.090","00:00:28.850","1","Oke, udah muncul ya."
"00:00:33.430","00:00:46.450","1","Oke, berarti di bagian sini nanti ada topik khusus untuk penawaran dan penawarannya itu akan nyambung ke dalam sini ya Pak?"
"00:00:47.410","00:00:51.830","3","Iya, betul. Jadi misalnya topiknya diketik manual permintaan penawaran."
"00:00:52.610","00:00:56.730","3","Nah, mungkin ada opsi tombol aja buat penawaran gitu."
"00:00:57.810","00:01:01.750","3","Jadi jangan opsi di drop down topiknya ya?"
"00:01:03.430","00:01:07.650","3","Kalau topiknya kan mungkin teman-teman bisa manual, bisa dijelaskan, ngapain."
"00:01:07.650","00:01:11.980","1","Oh ya, benar. Jadi nanti kemungkinan ada dua opsi ya."
"00:01:12.250","00:01:21.060","1","Entah seleksi dari topik yang sudah kita studiakan, ataupun nanti bisa masukkan sendiri gitu ya."
"00:01:22.250","00:01:34.610","3","Iya, atau isian topiknya kalau sudah ditentukan, berarti buat master data lagi khusus terangkat topik ini atau nggak?"
"00:01:35.490","00:01:43.470","1","Bisa juga seperti itu kalau memang mau, tapi nanti bisa juga ada metanisnya, misalnya topiknya belum ada di sini nih."
"00:01:44.110","00:01:47.110","1","Kan ribet ya masuk ke master data lagi, tambah topik gitu kan ya."
"00:01:48.330","00:01:51.130","1","Nah, itu juga bisa misalnya kita ketik di sini nanti."
"00:01:52.370","00:01:54.330","1","Karena dia belum ada, jadi kita misalnya lembakan."
"00:01:54.490","00:01:55.990","1","Misalnya kayak RFQ deh."
"00:01:56.630","00:01:58.330","1","RFQ kalau nggak soleh tuh..."
"00:02:00.330","00:02:00.830","1","Apa ya?"
"00:02:02.330","00:02:07.350","1","Misalnya produk ini kan ada seleksinya, tapi kita bisa masukkan juga datanya gitu."
"00:02:08.050","00:02:11.530","1","Nanti bakal yang masuk itu kita jadi kenosok bakal gitu."
"00:02:11.930","00:02:18.440","3","Tapi kalau ini, kalau nama produk rasanya nanti kita mintanya nggak jadi opsi, tapi udah fix."
"00:02:18.810","00:02:25.270","3","Biar apa filter pada saat mencarinya, kategorinya nggak beragam kalau dari sisi saya sih."
"00:02:26.030","00:02:26.380","1","Oke."
"00:02:26.850","00:02:31.880","3","Jadi si pelanggan ini sudah ngefikskan bahwa topiknya itu membutuhnya itu gitu."
"00:02:32.830","00:02:36.190","3","Jadi takutnya nanti bahasanya ada perbedaan bahasa gitu ya."
"00:02:36.380","00:02:43.970","3","Atau cara pengetikan segala macam, kita pada saat searching mau up material apanya berbeda istilah aja sih."
"00:02:44.670","00:02:46.670","3","Kalau dari sisi ini ya, dari sisi form ini."
"00:02:46.790","00:02:53.330","3","Mungkin nanti yang form mungkin ada koreksi tambah kurang mungkin begitu ya."
"00:02:53.910","00:02:59.730","3","Mungkin nanti yang tadi poinnya sih pas yang di project, topiknya adalah..."
"00:02:59.730","00:03:04.850","3","Misalnya nanti sudah kita tertungkap juga pada saat topiknya adalah permintaan penawaran."
"00:03:04.850","00:03:13.430","3","Mungkin muncul tombol pembuatan penawaran, baru dia bisa masuk ke data monitoring penawaran."
"00:03:13.570","00:03:19.230","3","Jadi form penawaran ini tidak hanya bisa diisi oleh pihak external melalui..."
"00:03:19.230","00:03:20.630","3","Eh sorry, pertanyaan... ya..."
"00:03:20.630","00:03:23.670","3","Mungkin nanti itu juga bisa diisi sama internal gitu."
"00:03:23.930","00:03:26.830","3","Selaku tim salesnya sendiri gitu bisa ngisi."
"00:03:27.630","00:03:28.830","","Baik, bisa."
"00:03:28.830","00:03:30.330","1","Bisa seperti itu Pak."
"00:03:30.930","00:03:32.250","3","Gitu ya, nangkap poinnya ya mas ya?"
"00:03:32.770","00:03:33.550","3","Ya, nangkap."
"00:03:34.510","00:03:34.830","","Siap."
"00:03:35.930","00:03:36.630","3","Itu..."
"00:03:36.630","00:03:40.690","3","Termasuk di sini nih status opsinya apa aja mas?"
"00:03:41.690","00:03:46.470","1","Status dalam tinjauan direspon sama baru masuk gitu."
"00:03:48.470","00:03:55.470","3","Berarti kalau sudah dikatakanlah penawarannya sudah dikirimkan itu statusnya ke..."
"00:03:55.990","00:03:56.550","1","Sebaru."
"00:03:56.550","00:03:56.810","3","Direspon."
"00:03:57.690","00:03:58.510","3","Enggak, sudah dikirim."
"00:03:58.670","00:04:05.650","3","Misalnya ini permintaan penawaran kan masuk, DAS gitu kan sama tim salesnya direspon."
"00:04:06.690","00:04:07.750","1","Sudah dikirim..."
"00:04:07.750","00:04:08.690","1","Sudah dikirim..."
